txn_id	post_date	packet_number	source_transaction	description_vendor	amount	account	fund	sub_fund	acct_code	acct_name	section	acct_type	category	consolidated_name
1	02/25/2025	CLPKT00522	R00003002	US POSTAL SERVICE POSTAGE REFUND-CIRCUIT CLERK ERROR US POSTAL SERVICE 29437977295	-73.44	01-01-47000	01	01	47000	MISC REFUNDS & REIMBURSEMENTS	01 - COUNTY REVENUE	Revenue	Office & Supplies	MISC REFUNDS & REIMBURSEMENTS
2	05/13/2025	CLPKT00549	R00003116	FP FINANCE PROGRAM REFUND OF OVERPAYMENT-INV 39018904 ACCOUNT SERVICES PROCESSING CENTER 0882256	-262.5	01-01-47000	01	01	47000	MISC REFUNDS & REIMBURSEMENTS	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	MISC REFUNDS & REIMBURSEMENTS
3	02/10/2025	CLPKT00516	R00002974	CLERK,RAY RAY COUNTY CLERK NOTARY: DEC 13, 2024 - JAN 30, 2025 DUSTIN & NICOLE YOAKUM,ELLIOTTS SCOUTS,HARGRAVE AUCTION,RAY COUNTY	-36.0	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
4	02/10/2025	CLPKT00516	R00002974	RAY COUNTY CLERK NOTARY FEES: DEC 13, 2024 - JAN 30, 2025 DUSTIN & NICOLE YOAKUM,ELLIOTTS SCOUTS,HARGRAVE AUCTION,RAY	-28.0	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
5	02/10/2025	CLPKT00516	R00002974	COUNTY CLE RAY COUNTY CLERK COLLECTOR FEES: DEC 13, 2024 - JAN 30, 2025 DUSTIN & NICOLE YOAKUM,ELLIOTTS SCOUTS,HARGRAVE AUCTION,RAY	-19.05	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
6	02/10/2025	CLPKT00516	R00002974	COUNTY RAY COUNTY CLERK SUNSHINE REQUEST: DEC 13, 2024 - JAN 30, 2025 DUSTIN & NICOLE YOAKUM,ELLIOTTS SCOUTS,HARGRAVE AUCTION,RAY	-9.3	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
7	02/28/2025	CLPKT00523	R00003008	RAY COUNTY CLERK SUNSHINE REQUESTS: JAN 30 - FEB 26 B PAUL,MEGAN ROWAN,RAY COUNTY CLERK,RAY COUNTY COLLECTOR,RAYVILLE	-9.9	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
8	02/28/2025	CLPKT00523	R00003008	RAY COUNTY CLERK COLLECTOR FEES: JAN 30 - FEB 26 B PAUL,MEGAN ROWAN,RAY COUNTY CLERK,RAY COUNTY COLLECTOR,RAYVILLE	-8.9	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
9	02/28/2025	CLPKT00523	R00003008	RAY COUNTY CLERK NOTARY FEES: JAN 30 - FEB 26 B PAUL,MEGAN ROWAN,RAY COUNTY CLERK,RAY COUNTY COLLECTOR,RAYVILLE	-38.0	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
10	02/28/2025	CLPKT00523	R00003008	RAY COUNTY CLERK NOTARY: JAN 30 - FEB 26, B PAUL,MEGAN ROWAN,RAY COUNTY CLERK,RAY COUNTY COLLECTOR,RAYVILLE SADDLE	-42.0	01-02-41014	01	02	41014	COUNTY CLERK FEES	01 - COUNTY REVENUE	Revenue	Other / Uncategorized	COUNTY CLERK FEES
